video_id,category,title,publishedAt,viewCount,likeCount,commentCount,duration
mHwpuM-dZxw,fun,ANXIETY PROGRESS 5 MONTHS IN | what has helped so far,2024-02-12T13:00:42Z,4883,338,62,PT18M1S
3LQLEdfaiDc,recommendation,TOP 1ST DATE PERFUMES FOR WOMEN | don't give 'desperate girl' vibes,2024-02-10T12:00:02Z,15281,839,69,PT17M50S
HoLUX1Op7cQ,recommendation,TOP 10 SIGNATURE PERFUMES FOR WOMEN,2024-02-05T12:37:10Z,24060,962,56,PT15M37S
EP_ojeA-ens,recommendation,10 NICHE FRAGRANCES I CANNOT LIVE WITHOUT | Monika Cioch,2024-02-03T12:00:11Z,24504,5311,161,PT19M52S
TsLUcOWGgQ8,recommendation,Top 12 ROSE 🌹 Perfumes For Women,2024-02-01T12:00:23Z,15686,687,83,PT19M55S
6V4dNa69QKM,fun,BUYING DECOR FOR THE NEW HOUSE WENT WRONG | Monika Cioch,2024-01-29T14:30:02Z,3625,190,19,PT33M1S
Z0Igr9vVZzA,recommendation,TOP 10 LONG-LASTING PERFUMES FOR WOMEN,2024-01-26T15:45:01Z,24801,862,28,PT17M44S
HuOhvUg4dPk,fun,"Sushi Date, Beauty Favourites & Being a Homebody | MONIKA CIOCH",2024-01-22T12:00:15Z,3485,247,37,PT22M33S
pzov2fRcCWM,recommendation,9 AMAZING COLD WEATHER PERFUMES FOR WOMEN,2024-01-20T11:00:47Z,9335,643,38,PT15M11S
paKLU6sjpGU,fun,Adult friendships suck | Monika Cioch,2024-01-16T12:59:19Z,10170,524,173,PT25M47S
__yGIoTpHfE,recommendation,My Job Is To Find THE BEST PERFUMES & These 8 You Can't Miss Out On,2024-01-13T10:30:15Z,19330,785,60,PT15M47S
_li5Zb1yIvI,fashion,"BEST AND WORST PURCHASES OF LAST YEAR  | Chanel, Currentbody, Amouage, YSL",2024-01-09T12:00:35Z,7393,336,20,PT26M9S
_UFN6wiIT-0,recommendation,11 PERFUMES THAT EVERY MAN LOVES TO SMELL ON A WOMAN | top fragrances to attract men,2024-01-06T12:00:24Z,45269,1545,97,PT16M59S
