video_id,category,title,publishedAt,viewCount,likeCount,commentCount,durationMinutes,durationSeconds
lTtrv8MTc-g,recommendation,TOP 10 MOST FEMININE PERFUMES FOR WOMEN 2023,2023-05-23T11:00:27Z,29583.0,762.0,46.0,14,27
xZfpW8OgfpU,recommendation,TOP 10 SUMMER PERFUMES FOR WOMEN 2023,2023-05-19T11:47:07Z,39588.0,921.0,38.0,12,6
C0BCGSaCk48,fun,VLOG | Royal Windsor Horse Show 2023 With Hermès Paris,2023-05-17T11:33:49Z,1171.0,55.0,5.0,8,52
KuUAmgW8XJA,fashion,MY CHANEL BAG COLLECTION... and Perfumes I'd Pair Them With,2023-05-13T11:15:00Z,6937.0,196.0,24.0,13,54
KWdk3jtklWk,recommendation,10 QUIET LUXURY PERFUMES | unique & splurge worthy,2023-05-11T12:00:21Z,18315.0,629.0,37.0,16,41
bawFhgR3epY,fashion,My First Louis Vuitton Bag Unboxing | POCHETTE ACCESSOIRES,2023-05-08T10:50:23Z,34692.0,360.0,73.0,9,18
YmmtOLYJ-Dg,review,"MAN REACTS TO ALL PARFUMS DE MARLY PERFUMES | Delina, Valaya, Oriana etc.",2023-05-05T10:35:34Z,86089.0,2042.0,179.0,19,7
tUnH0QLu9KA,fun,"FAVOURITES: perfume, fashion, beauty",2023-05-01T13:46:13Z,3661.0,195.0,19.0,11,32
OzsJDoxlFGo,recommendation,10 INTOXICATING PERFUMES FOR WOMEN | huge scent trail,2023-04-29T11:30:07Z,30872.0,846.0,54.0,18,11
ezAmkIml144,review,"VERSACE CRYSTAL PERFUMES COMPARED | Crystal Noir, Yellow Diamond, Bright Crystal",2023-04-24T14:58:08Z,32495.0,529.0,54.0,11,10
OZvTHwIpV9o,fun,HOW I AFFORD LUXURY | Monika Cioch,2023-04-20T11:30:10Z,16516.0,894.0,98.0,14,54
Jfbs01mE_iU,recommendation,14 ALL TIME BEST EVERYDAY DESIGNER PERFUMES,2023-04-17T14:36:06Z,71767.0,1903.0,76.0,20,28
MAIhlfv9gIc,recommendation,8 MOST WORN PERFUMES THIS SPRING,2023-04-15T11:30:06Z,10223.0,421.0,27.0,12,1
PP9Z6zo9Qms,fun,"productive day in my life | cleaning, wardrobe switchover, clearing the inbox, walking the dog",2023-04-13T11:30:08Z,2148.0,100.0,3.0,21,18
598_Qhw8Pic,recommendation,MY 10 SIGNATURE PERFUMES,2023-04-10T11:00:04Z,20695.0,806.0,36.0,14,36
7FdkRbltyno,recommendation,Top 10 Sexy Perfumes 2023,2023-04-08T11:30:04Z,70120.0,1265.0,52.0,12,57
6Q7dDNb684M,review,VERSACE CRYSTAL NOIR vs YSL LIBRE - Which One's Better | Men React In Public To Popular Perfumes,2023-04-03T11:14:46Z,46541.0,669.0,79.0,10,52
KlryHr6jPr8,recommendation,"TOP NICHE PERFUMES FOR WOMEN 2023 | Initio, Byredo, BDK, Nishane...",2023-04-01T11:30:10Z,38931.0,1066.0,52.0,19,6
SVyQBFcbHBI,fashion,"SPRING ZARA HAUL | denim skirt trend, swimming, at home manicure | MONIKA CIOCH VLOG",2023-03-30T11:00:21Z,2982.0,91.0,4.0,20,40
djaR7Fp_2c4,review,BURBERRY HER ELIXIR EAU DE PARFUM REVIEW | better than Burberry Her Intense?,2023-03-27T14:22:56Z,28587.0,563.0,42.0,6,58
ZSk2ZNSIuoE,review,MAN REACTS TO 15 SEXIEST PERFUMES FOR WOMEN,2023-03-25T13:00:32Z,577387.0,9912.0,205.0,10,2
ElXS_RUV7Sk,recommendation,TOP 10 DATE FRAGRANCES FOR WOMEN | sexy perfumes 2023,2023-03-23T14:00:14Z,22458.0,397.0,11.0,14,15
Z3z1jHZB9iA,fun,Self-Care Saturday + new in perfumes,2023-03-21T14:04:37Z,2500.0,118.0,8.0,9,17
WZP29dsXPLE,recommendation,TOP 10 FRESH FRAGRANCES FOR WOMEN 2023,2023-03-19T12:16:58Z,19633.0,625.0,36.0,12,23
Ys0mWOlZL98,recommendation,7 PERFUMES YOU NEED,2023-03-16T13:00:21Z,10729.0,463.0,30.0,9,45
1ojGvIG626Q,review,HUSBAND RATES 13 ZARA PERFUMES FOR WOMEN | best Zara perfumes,2023-03-13T16:50:15Z,74855.0,1632.0,87.0,16,50
